Sesso,Altezza,Eta,Etnia,Taglia
0,186,31,2,31
1,160,56,3,28
0,199,28,2,31
0,169,54,3,32
1,175,30,1,28
0,156,37,3,28
0,200,54,1,35
1,192,41,1,33
1,150,44,2,25
1,190,47,3,31
0,196,51,3,34
1,179,45,3,31
1,165,23,2,25
0,198,47,3,36
1,171,19,2,25
0,181,31,2,31
1,167,56,3,29
0,183,30,1,29
1,181,53,1,31
1,178,19,1,25
1,194,33,2,32
1,180,53,3,30
1,172,47,2,29
0,157,30,2,25
0,162,31,3,27
1,156,30,2,24
0,169,18,3,25
1,152,21,3,21
0,190,49,1,35
1,180,48,2,30
0,166,48,1,31
1,181,22,3,27
0,159,27,3,27
0,165,25,3,27
0,199,51,2,35
1,169,55,2,28
0,189,24,1,30
1,192,23,1,27
0,160,18,2,24
1,168,20,1,23
1,194,47,1,34
1,200,58,3,35
0,177,25,3,27
0,167,27,1,25
1,188,54,2,32
1,194,37,3,32
1,182,52,2,31
0,177,38,3,30
0,164,54,3,31
1,186,20,1,26
1,167,29,3,26
1,155,48,2,26
1,192,24,1,28
1,168,60,2,29
0,179,23,2,27
0,199,43,3,37
0,192,52,2,34
0,183,41,3,34
1,198,21,1,28
0,168,46,3,30
0,190,56,1,35
1,185,18,3,26
0,157,47,1,29
0,181,36,3,32
1,180,48,1,30
0,174,30,3,29
0,154,35,2,26
1,150,36,3,24
1,159,46,3,27
1,185,52,2,31
1,162,33,3,26
1,152,38,3,25
1,174,60,3,31
1,152,26,3,24
1,156,46,1,27
1,150,27,2,24
0,154,48,2,27
1,191,23,2,29
1,170,58,3,30
1,184,20,3,25
1,164,23,2,25
0,178,28,3,28
0,152,38,1,26
1,177,27,1,27
0,160,29,1,26
1,189,33,2,32
0,164,47,3,29
1,192,18,2,28
0,154,46,2,29
1,190,45,3,32
1,162,42,2,26
1,186,40,3,31
1,151,60,2,25
0,188,49,2,35
0,188,40,1,34
1,193,60,3,34
0,190,59,1,33
1,152,55,2,26
0,168,38,3,29
0,158,52,2,28
1,160,34,2,27
1,197,39,1,33
0,159,32,3,27
1,185,41,1,32
0,166,52,1,30
1,187,42,3,33
0,193,32,2,31
1,189,32,3,29
1,194,37,3,32
0,152,20,2,24
0,156,33,3,25
1,173,60,3,30
1,187,27,2,29
1,189,44,2,31
1,163,46,2,29
1,156,41,3,28
1,153,43,2,25
0,179,23,3,27
0,153,39,1,29
0,154,53,1,28
0,171,27,3,26
0,158,52,2,29
0,192,19,1,27
0,187,38,1,32
0,158,44,3,27
0,180,46,2,32
0,178,50,1,33
0,196,60,3,34
0,153,48,2,27
0,181,46,1,34
1,188,27,1,27
1,174,56,3,29
1,156,25,3,24
0,177,46,1,31
1,175,44,3,29
1,170,60,2,29
0,193,48,1,33
0,155,45,1,28
1,158,53,1,27
1,192,25,2,28
1,196,21,2,28
1,156,54,3,26
1,164,24,2,25
1,157,35,3,25
1,185,57,3,32
0,188,60,3,33
0,167,37,2,29
0,159,54,3,28
0,197,58,1,34
0,174,44,2,31
1,169,38,3,29
0,159,28,3,24
0,167,46,3,30
1,176,35,1,29
0,172,45,1,30
1,183,60,2,30
1,188,21,1,26
0,199,26,2,31
0,150,49,3,27
0,174,52,3,30
1,154,43,3,25
0,179,22,2,27
1,195,58,2,32
1,151,38,1,26
1,194,41,1,33
0,165,45,3,29
0,175,37,3,30
1,199,28,1,31
0,183,50,1,34
1,172,59,1,28
0,166,30,1,28
0,161,58,2,29
1,193,54,3,33
1,190,38,1,32
1,178,58,2,31
0,172,50,1,30
1,152,21,2,22
0,191,23,3,30
1,179,55,3,32
0,178,54,3,31
1,182,27,1,27
1,195,23,3,29
0,165,46,2,30
0,173,41,2,31
1,193,56,1,34
1,154,39,1,26
1,168,34,3,28
0,171,23,3,27
1,169,59,3,29
0,188,23,2,29
1,158,60,3,28
0,191,60,2,34
0,173,37,1,32
1,199,49,1,33
0,159,22,2,25
0,182,52,3,34
0,192,39,3,33
1,159,28,1,25
0,196,46,1,35
0,178,57,2,33
1,164,52,1,27
1,162,41,3,29
1,179,36,2,29
1,160,30,3,24
1,153,59,2,27
0,195,51,1,34
0,167,46,3,29
1,155,32,2,26
0,176,21,2,27
0,174,23,2,26
1,156,59,2,27
0,152,36,2,27
0,198,48,2,36
0,151,34,1,27
1,157,36,1,25
0,165,44,3,30
1,154,25,2,23
0,190,50,3,33
0,168,45,1,30
0,186,44,1,34
0,183,41,1,34
0,174,48,1,32
1,166,19,2,24
1,165,60,3,27
1,158,20,2,23
0,199,47,3,36
0,158,22,3,25
1,152,36,1,24
0,152,38,2,27
1,166,20,3,23
1,199,21,3,28
0,173,45,2,32
1,171,29,2,27
1,183,35,1,31
0,177,56,1,32
1,156,23,2,23
1,178,56,3,30
1,172,46,1,30
1,189,45,2,33
0,154,60,3,27
0,151,27,3,25
1,152,26,1,22
1,173,42,3,28
0,193,46,2,34
0,186,26,3,29
1,191,35,1,33
0,197,29,2,32
0,166,34,3,28
1,194,49,1,32
0,178,29,3,29
0,193,38,3,33
0,185,52,2,34
0,195,58,1,36
0,157,30,1,25
1,151,41,3,26
1,185,26,3,29
0,169,43,3,31
1,199,44,3,32
1,191,22,2,28
1,158,53,3,27
0,177,50,1,33
0,169,28,1,27
0,172,51,2,32
1,162,58,3,27
1,189,52,1,32
0,187,55,1,32
1,186,20,1,25
1,191,31,3,30
0,181,58,3,32
1,180,33,3,29
1,154,21,1,22
1,179,31,2,28
1,195,38,3,34
1,175,26,2,26
0,170,33,2,28
1,165,27,1,24
1,189,44,1,34
0,170,54,3,30
0,181,50,2,32
1,181,19,1,27
1,165,31,3,26
0,168,49,3,31
1,168,52,1,30
1,158,34,3,25
1,173,20,2,23
0,173,53,2,30
1,198,53,2,35
0,158,24,2,24
1,185,41,1,31
1,182,20,1,25
1,180,51,2,30
0,170,57,2,29
1,187,39,3,33
1,195,54,2,33
0,173,39,3,30
1,187,37,3,32
0,188,48,2,35
0,196,21,3,29
1,159,33,1,26
0,162,19,2,24
0,176,31,2,29
1,197,21,3,27
0,185,38,3,33
1,170,29,2,27
1,184,40,3,32
1,189,48,1,34
1,185,37,1,32
1,199,36,3,32
1,170,48,2,29
1,168,25,3,25
1,175,40,1,29
1,195,23,2,30
1,197,48,1,33
1,185,35,1,29
0,165,21,3,26
0,190,32,1,30
1,195,48,1,34
0,150,53,1,27
1,180,59,1,31
1,170,36,3,27
0,191,54,1,34
0,161,44,1,30
0,175,49,1,33
1,152,18,2,22
0,171,36,2,31
1,158,50,2,26
0,171,28,3,27
1,195,29,1,31
1,186,30,1,29
1,177,50,2,29
0,161,26,2,25
0,150,34,2,25
1,171,37,3,29
0,166,59,2,30
0,192,25,2,30
1,193,50,3,34
0,190,36,2,33
0,158,48,1,28
1,176,53,2,31
0,198,33,3,34
0,183,46,3,33
0,186,25,1,30
0,186,52,1,32
1,157,31,3,25
0,182,46,1,32
1,179,54,1,31
1,196,19,2,27
0,197,31,3,31
1,172,22,3,26
0,180,20,2,27
0,199,59,3,36
1,173,42,2,31
1,174,23,3,27
0,191,40,1,33
1,183,26,3,29
0,198,19,2,29
1,184,42,1,31
1,159,35,1,27
0,152,60,2,28
0,165,31,1,26
0,178,56,3,33
0,165,20,2,24
0,198,21,1,30
1,164,54,2,28
1,165,37,1,29
0,176,37,2,29
0,190,45,3,34
1,191,60,2,33
1,194,44,2,32
1,161,52,2,27
0,169,27,2,28
